DateTime,Index_Price,BTC_Volatility_Index_DVOL
2024-01-29 12:00:00,42181.380261,44.18
2024-01-30 00:00:00,43109.281819,45.25
2024-01-30 12:00:00,43391.815571,45.95
2024-01-31 00:00:00,43429.277936,46.32
2024-01-31 12:00:00,42815.103625,45.77
2024-02-01 00:00:00,42890.184048,44.64
2024-02-01 12:00:00,42159.414956,44.32
2024-02-02 00:00:00,42991.848086,43.31
2024-02-02 12:00:00,43064.494062,42.27
2024-02-03 00:00:00,43017.081231,41.95
2024-02-03 12:00:00,43059.911683,41.46
2024-02-04 00:00:00,43046.942289,41.45
2024-02-04 12:00:00,42867.459252,42.26
2024-02-05 00:00:00,42702.486263,41.78
2024-02-05 12:00:00,42976.730481,42.37
2024-02-06 00:00:00,42524.950111,41.83
2024-02-06 12:00:00,42831.349133,42.87
2024-02-07 00:00:00,43154.418938,41.82
2024-02-07 12:00:00,42947.112235,41.81
2024-02-08 00:00:00,43964.324888,43.81
2024-02-08 12:00:00,44644.462434,44.74
2024-02-09 00:00:00,45339.738176,44.74
2024-02-09 12:00:00,46494.568783,47.1
2024-02-10 00:00:00,47511.029022,46.54
2024-02-10 12:00:00,47208.257325,47.61
2024-02-11 00:00:00,47671.670292,49.46
2024-02-11 12:00:00,48215.089852,50.27
2024-02-12 00:00:00,48191.448339,50.6
2024-02-12 12:00:00,48061.940985,50.27
2024-02-13 00:00:00,49940.966029,54.56
2024-02-13 12:00:00,50032.77126,52.1
2024-02-14 00:00:00,49373.000097,51.72
2024-02-14 12:00:00,50553.342575,54.79
2024-02-15 00:00:00,51675.848908,54.38
2024-02-15 12:00:00,52119.456136,54.88
2024-02-16 00:00:00,51843.454264,54.7
2024-02-16 12:00:00,52002.636513,54.05
2024-02-17 00:00:00,51958.962132,54.64
2024-02-17 12:00:00,51816.141142,54.37
2024-02-18 00:00:00,51530.174582,55
2024-02-18 12:00:00,51756.128748,54.97
2024-02-19 00:00:00,51914.691325,55.62
2024-02-19 12:00:00,52331.449212,56.14
2024-02-20 00:00:00,51912.891513,56.17
2024-02-20 12:00:00,51936.840332,55.59
2024-02-21 00:00:00,51965.739481,53.1
2024-02-21 12:00:00,51473.764674,53.5
2024-02-22 00:00:00,51199.644454,52.89
2024-02-22 12:00:00,51746.954075,54.54
2024-02-23 00:00:00,51568.835393,51.62
2024-02-23 12:00:00,51097.575158,51.54
2024-02-24 00:00:00,50994.553106,52.13
2024-02-24 12:00:00,51040.768539,53.34
2024-02-25 00:00:00,51551.294255,54.16
2024-02-25 12:00:00,51665.245742,54.13
2024-02-26 00:00:00,51705.980234,54.46
2024-02-26 12:00:00,51269.890947,55.27
2024-02-27 00:00:00,54345.386229,56.05
2024-02-27 12:00:00,56397.491387,57.9
2024-02-28 00:00:00,56997.182144,54.99
2024-02-28 12:00:00,58529.002616,59.18
2024-02-29 00:00:00,60980.987912,67.28
2024-02-29 12:00:00,62806.695433,65.32
2024-03-01 00:00:00,61335.713969,63.23
2024-03-01 12:00:00,61872.747883,64.28
2024-03-02 00:00:00,62459.289434,64.08
2024-03-02 12:00:00,62019.770774,64.46
2024-03-03 00:00:00,61991.159149,65.52
2024-03-03 12:00:00,61771.346975,68.04
2024-03-04 00:00:00,62837.648443,70.73
2024-03-04 12:00:00,64610.351317,73.82
2024-03-05 00:00:00,67364.42637,74.05
2024-03-05 12:00:00,66822.131614,73.14
2024-03-06 00:00:00,63373.353328,70.88
2024-03-06 12:00:00,66594.28781,74.46
2024-03-07 00:00:00,66727.350554,69.97
2024-03-07 12:00:00,66562.799458,69.68
2024-03-08 00:00:00,67502.106837,68.52
2024-03-08 12:00:00,67363.863973,69.51
2024-03-09 00:00:00,68727.087702,71.47
2024-03-09 12:00:00,68453.443274,71.55
2024-03-10 00:00:00,68469.93805,74.92
2024-03-10 12:00:00,69635.584745,78.27
2024-03-11 00:00:00,69236.569561,77.26
2024-03-11 12:00:00,70944.742691,82.83
2024-03-12 00:00:00,72367.797775,79.39
2024-03-12 12:00:00,71946.225865,76.37
2024-03-13 00:00:00,71165.700393,77.19
2024-03-13 12:00:00,73130.942621,77.46
2024-03-14 00:00:00,73136.173116,73.48
2024-03-14 12:00:00,73285.814464,73.09
2024-03-15 00:00:00,70691.442594,73.22
2024-03-15 12:00:00,67722.521782,74.75
2024-03-16 00:00:00,68776.323046,73.89
2024-03-16 12:00:00,68907.036165,70.95
2024-03-17 00:00:00,66630.578053,75.73
2024-03-17 12:00:00,66191.332373,75.69
2024-03-18 00:00:00,68305.03319,75.25
2024-03-18 12:00:00,68101.013845,73.26
2024-03-19 00:00:00,67399.716078,71.35
2024-03-19 12:00:00,63834.524246,74.27
2024-03-20 00:00:00,63706.797476,75.28
2024-03-20 12:00:00,62757.030295,76.36
2024-03-21 00:00:00,66645.363259,76.43
2024-03-21 12:00:00,67075.961113,74.29
2024-03-22 00:00:00,65382.971069,73.11
2024-03-22 12:00:00,65719.107887,71.72
2024-03-23 00:00:00,63403.011158,72.15
2024-03-23 12:00:00,64425.715922,73.3
2024-03-24 00:00:00,64990.513169,73.58
2024-03-24 12:00:00,64745.728439,71.77
2024-03-25 00:00:00,66354.326401,72.45
2024-03-25 12:00:00,67032.249932,74.03
2024-03-26 00:00:00,70505.243851,75.55
2024-03-26 12:00:00,70814.920176,75.13
2024-03-27 00:00:00,69980.503675,74.11
2024-03-27 12:00:00,70023.864883,74.76
2024-03-28 00:00:00,68954.55761,75.66
2024-03-28 12:00:00,70463.443594,75.57
2024-03-29 00:00:00,70789.913262,73.87
2024-03-29 12:00:00,70060.357067,72.9
2024-03-30 00:00:00,69633.431253,71.67
2024-03-30 12:00:00,70044.045915,74.02
2024-03-31 00:00:00,69838.479788,74.91
2024-03-31 12:00:00,70308.280056,75.77
2024-04-01 00:00:00,70924.103194,76.04
2024-04-01 12:00:00,69536.920569,73.49
2024-04-02 00:00:00,69486.067494,73.58
2024-04-02 12:00:00,66324.776724,74.17
2024-04-03 00:00:00,65777.415984,72.32
2024-04-03 12:00:00,66286.326838,72.15
2024-04-04 00:00:00,65910.115454,70.65
2024-04-04 12:00:00,66140.445832,69.99
2024-04-05 00:00:00,68262.847912,71.69
2024-04-05 12:00:00,66957.408533,71.68
2024-04-06 00:00:00,67708.556286,71.66
2024-04-06 12:00:00,67953.225247,71.9
2024-04-07 00:00:00,68541.107166,72.26
2024-04-07 12:00:00,69379.182643,73.61
2024-04-08 00:00:00,69326.050238,74.72
2024-04-08 12:00:00,71295.097929,76.19
2024-04-09 00:00:00,71757.210807,74.95
2024-04-09 12:00:00,70597.272344,73.68
2024-04-10 00:00:00,69040.342485,72.98
2024-04-10 12:00:00,69107.038307,72.12
2024-04-11 00:00:00,69959.833595,69.64
2024-04-11 12:00:00,70738.084929,68.23
2024-04-12 00:00:00,70257.917672,67.19
2024-04-12 12:00:00,70781.278362,65.71
2024-04-13 00:00:00,67046.053626,66.76
2024-04-13 12:00:00,67404.523287,66.93
2024-04-14 00:00:00,64430.791436,71.36
2024-04-14 12:00:00,64461.17213,71.3
2024-04-15 00:00:00,64473.758126,70.2
2024-04-15 12:00:00,66374.011205,68.4
2024-04-16 00:00:00,63299.664932,70.38
2024-04-16 12:00:00,63082.879487,70.84
2024-04-17 00:00:00,63294.644317,67.83
2024-04-17 12:00:00,63393.745396,68.38
2024-04-18 00:00:00,61333.063884,67.89
2024-04-18 12:00:00,61546.527463,68.23
2024-04-19 00:00:00,63382.261732,69.75
2024-04-19 12:00:00,64407.955678,68.88
